date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
3/1/15,590,718,2.2833,5002.53,828.42,988,579,666,50.11,31.69,21.09,292.7,120.5,1.02,218.98813,172.2,33.16129032,22.83870968,10.56129032,6.64516129,51.03225806,22.56451613,32.43548387,28.62903226,5.596774194,35.03225806,73.38709677,0.241935484,1010.854839,28.38709677,8.822580645,122.4354839,3.693548387
4/1/15,535,711,2.2585,5509.12,829.91,959,554,722,54.11,32.02,21.29,259.2,117.3,1.13,203.96801,141.9,33.86666667,23.66666667,11.13333333,6.9,50.53333333,23.15,33.53333333,29.31666667,5.8,31.76666667,73.16666667,0.615,1009.65,29.08333333,8.6,134.9666667,4.083333333
5/1/15,518,738,2.2803,6067.63,820.58,925,548,730,51.62,31.8,20.1,170.9,122.3,1.26,226.64624,48.6,34.41935484,23.83870968,11.37419355,7.258064516,51.67741935,23.14516129,33.91935484,29.5,6,32.61290323,72.14516129,0.787096774,1009.774194,29.40322581,9.35483871,137.8709677,4.129032258
6/1/15,519,723,2.4149,6032.36,809.12,911,538,719,52.32,31.71,20.33,104.5,111.8,1.31,193.53314,5.2,34.06666667,23.56666667,11,7.3,50.73333333,22.4,33.11666667,29.26666667,6.85,32.23333333,69.83333333,0.49,1009.316667,29.21666667,9.316666667,161.35,4.866666667
7/1/15,562,756,2.5139,5909.79,785.73,895,582,709,56.57,30.84,19.9,314.7,114.7,1.36,200.88716,192.1,34.51612903,23.67741935,11.41935484,7.64516129,52.25806452,21.46774194,32.80645161,29.56451613,7.258064516,30.03225806,65.32258065,0.382258065,1009.66129,29.51612903,9.709677419,179.016129,5.258064516
8/1/15,552,778,2.5501,5906.63,784.4,897,591,713,55.55,31.12,20.57,187.7,103.8,1.15,190.24424,83.9,34.09677419,23.58064516,11.1483871,7.258064516,51.96774194,21.85483871,32.69354839,29.19354839,6.919354839,38.01612903,67.48387097,0.690322581,1010.209677,29.17741935,9.5,165.3225806,5.032258065
9/1/15,508,816,2.5687,6014.78,822.39,904,563,755,56.08,30.46,20.8,374.5,100.3,1.19,175.43217,274.2,33.46666667,23.5,10.66666667,7.266666667,50.53333333,21.83333333,32.36666667,29.06666667,6.383333333,40.3,68.1,0.338333333,1010.066667,28.76666667,9.633333333,191.7166667,4.766666667
10/1/15,476,775,2.5689,5903.83,854.31,902,549,831,58.66,31.57,21.64,301.2,100.6,0.97,182.59414,200.6,34.29032258,23.70967742,11.06129032,7.161290323,51.32258065,22,32.91935484,29.40322581,6,37.25806452,68.08064516,0.517741935,1010.854839,29.38709677,9.661290323,118.1129032,4.161290323
11/1/15,513,742,2.586,5811.23,823.02,885,565,916,57.01,29.89,20.42,242.2,97.9,1.31,172.64741,144.3,33.36666667,23.43333333,10.64333333,6.766666667,50.43333333,23.21666667,33.03333333,28.78333333,5.65,41.95,74.45,0.813333333,1009.366667,28.78333333,9.133333333,139.3333333,3.85
12/1/15,545,721,2.5842,5925.11,790.39,879,569,999,50.14,28.44,19.63,199.6,105.2,1.69,195.32564,94.4,32.90322581,23.29032258,11.10322581,6.612903226,50.64516129,22.80645161,32.46774194,28.61290323,5.258064516,35.74193548,74.14516129,0.359677419,1011.032258,28.5,9.064516129,114.4677419,3.580645161
1/1/16,532,722,2.5643,6023.87,771.51,874,528,1114,46.67,30.01,20.17,64.4,106,1.68,210.73787,3.2,34,23.35483871,11.1483871,6.870967742,50.22580645,22.43548387,32.98387097,29.06451613,5.870967742,32.03225806,71.17741935,0.20483871,1011.451613,29.03225806,9,99.87096774,4.14516129
2/1/16,550,760,2.561,6235.91,808.43,868,517,1279,45.91,31.68,20.79,102.6,133.4,1.24,241.17823,5.1,34.17241379,22.75862069,11.16551724,6.75862069,50,21.72413793,32.39655172,28.9137931,7.017241379,32.03448276,69.65517241,0.094827586,1011.758621,28.89655172,9.137931034,62.79310345,5.034482759
3/1/16,561,777,2.562,6241.91,844.71,868,514,1358,46.93,32.69,21.05,82.5,128.9,1.14,232.76792,4.1,35.87096774,24,11.41935484,7.612903226,49.93548387,22.38709677,34.40322581,30.35483871,5.870967742,29.58064516,67.09677419,0.309677419,1011.209677,30.33870968,9.725806452,129.7419355,4.241935484
