date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,HeatIndexC 
2013-06-01,395,539,2.32,2683.4,667.68,1013.0,586.0,699.0,29.96,31.42,20.73,188.3,116.8,1.15,208.10515,48.0,34.43333333,23.0,0,11.36666667,7.433333333,50.03333333,21.5,32.71666667,32.71666667,29.05,6.95,22.78333333,67.35,0.248333333,1007.7029571249998,29.05,9.183333333,236.2166667,5.083333333,
2013-07-01,434,560,2.2803,2668.77,657.92,1030.0,584.0,695.0,30.63,31.8,20.75,150.9,126.0,1.46,222.36506,24.9,33.5483871,22.06451613,0,11.24193548,7.096774194,49.70967742,21.19354839,31.43548387,31.48387097,28.17741935,7.290322581,29.37096774,69.32258065,0.424193548,1008.370968,28.17741935,9.483870968,191.0483871,5.290322581,
2013-08-01,488,599,2.3062,2705.24,668.92,1020.0,594.0,714.0,33.59,31.53,20.73,207.8,110.9,1.18,202.31956,96.9,33.16129032,22.61290323,0,11.19354839,6.903225806,49.38709677,21.5483871,31.53225806,31.62903226,28.22580645,7.725806452,32.9516129,70.12903226,0.522580645,1008.854839,28.22580645,9.258064516,189.483871,5.467741935,
2013-09-01,508,608,2.2916,2744.46,684.68,1014.0,571.0,695.0,31.32,31.2,20.8,253.4,104.9,1.15,182.77819,148.5,32.4,22.56666667,0,10.71333333,6.8,49.6,21.93333333,31.11666667,31.2,27.65,7.516666667,37.03333333,73.68333333,0.246666667,1009.216667,27.65,9.4,210.1166667,5.4,
2013-10-01,494,579,2.3908,3553.91,709.72,1017.0,560.0,700.0,33.28,30.97,21.79,372.1,94.6,0.98,170.21474,277.5,32.4516129,22.83870968,0,11.15806452,6.709677419,48.64516129,22.40322581,31.51612903,31.51612903,27.87096774,6.935483871,39.37096774,74.30645161,0.643548387,1009.903226,27.87096774,8.806451613,228.0806452,5.080645161,
2013-11-01,575,596,2.4153,3548.05,683.88,1018.0,600.0,706.0,36.9,30.03,20.56,328.5,96.9,1.21,171.80718,231.6,31.83333333,22.83333333,0,10.75,6.333333333,49.5,23.21666667,31.68333333,31.68333333,27.55,5.916666667,46.86666667,78.78333333,0.606666667,1008.316667,27.55,8.683333333,157.5166667,4.266666667,
2013-12-01,614,622,2.4943,3596.26,647.24,1018.0,672.0,708.0,37.59,29.48,20.13,236.1,111.9,1.69,206.42468,124.2,30.64516129,22.70967742,0,9.55870966625,6.096774194,48.06451613,23.33870968,30.79032258,30.82258065,26.88709677,6.403225806,57.37096774,82.5483871,0.39516129,1009.241935,26.88709677,7.760191880249998,124.983871,4.532258065,
2014-01-01,616,621,2.4698,3694.03,663.64,1029.0,642.0,682.0,42.64,30.86,20.82,157.7,105.9,1.42,208.12115,51.8,31.61290323,21.35483871,0,10.74193548,6.387096774,47.77419355,21.35483871,29.64516129,30.14516129,27.24193548,7.096774194,40.35483871,74.03225806,0.108064516,1011.435484,26.91935484,8.435483871,84.56451613,5.161290323,
2014-02-01,707,706,2.4304,3656.24,651.7,1048.0,706.0,683.0,37.3,31.77,21.09,232.5,135.6,1.1,245.00328,96.9,34.78571429,21.5,0,11.4,6.785714286,52.60714286,20.67857143,31.55357143,31.85714286,28.64285714,6.214285714,22.73214286,67.10714286,0.058928571,1009.928571,28.64285714,9.196428571,114.4107143,4.625,
2014-03-01,719,692,2.3833,3587.45,652.57,1062.0,693.0,646.0,32.25,31.39,21.34,292.8,120.3,1.06,219.61231,172.5,34.25806452,22.4516129,0,11.10322581,6.935483871,47.77419355,21.93548387,32.67741935,32.67741935,28.90322581,5.629032258,30.62903226,70.67741935,0.229032258,1010.370968,28.82258065,9.177419355,124.6451613,4.177419355,
2014-04-01,655,622,2.3723,3622.27,642.01,1054.0,674.0,598.0,35.69,31.82,21.24,153.4,113.1,1.14,196.32591,40.3,32.63333333,22.93333333,0,11.32,6.433333333,49.26666667,23.65,32.6,32.6,27.93333333,6.2,35.16666667,79.41666667,0.976666667,1009.55,27.93333333,8.516666667,170.9,4.5,
2014-05-01,661,636,2.4047,3772.18,645.33,1025.0,663.0,602.0,36.86,31.54,20.35,128.1,111.9,1.26,204.72022,16.2,33.25806452,23.22580645,0,10.70322581,6.64516129,48.35483871,23.66129032,33.37096774,33.37096774,28.5483871,6.241935484,35.61290323,77.25806452,0.622580645,1008.919355,28.5483871,8.919354839,158.4677419,4.5,
