Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2015-12,32.90322581,23.29032258,0,11.10322581,6.612903226,50.64516129,22.80645161,32.46774194,32.46774194,28.61290323,5.258064516,35.74193548,74.14516129,0.359677419,1011.032258,28.5,9.064516129,114.4677419,3.580645161
2016-01,34,23.35483871,0,11.1483871,6.870967742,50.22580645,22.43548387,32.98387097,32.98387097,29.06451613,5.870967742,32.03225806,71.17741935,0.20483871,1011.451613,29.03225806,9,99.87096774,4.14516129
2016-02,34.17241379,22.75862069,0,11.16551724,6.75862069,50,21.72413793,32.39655172,32.39655172,28.9137931,7.017241379,32.03448276,69.65517241,0.094827586,1011.758621,28.89655172,9.137931034,62.79310345,5.034482759
2016-03,35.87096774,24,0,11.41935484,7.612903226,49.93548387,22.38709677,34.40322581,34.40322581,30.35483871,5.870967742,29.58064516,67.09677419,0.309677419,1011.209677,30.33870968,9.725806452,129.7419355,4.241935484
2016-04,34.46666667,24,0,10.52666667,7.166666667,49.83333333,23.46666667,34.66666667,34.66666667,29.9,5.5,36.13333333,72.31666667,0.413333333,1009.516667,29.65,9.25,157.8166667,3.85
2016-05,34.16129032,24.38709677,0,11.10645161,7.290322581,49.32258065,23.5483871,34.46774194,34.46774194,29.70967742,5.596774194,40.83870968,72.4516129,0.769354839,1008.967742,29.56451613,9.483870968,159.5483871,3.806451613
2016-06,34.26666667,23.36666667,0,11.13333333,7.133333333,49.6,21.35,32.78333333,32.78333333,29.5,6.433333333,36.08333333,65.36666667,0.488333333,1009.733333,29.45,9.516666667,178.1333333,4.733333333
2016-07,33.87096774,23.4516129,0,10.52580645,7.35483871,48.70967742,21.93548387,32.83870968,32.83870968,29.27419355,6.774193548,30.37096774,68.37096774,0.311290323,1009.322581,29,9.516129032,167.5645161,4.887096774
2016-08,35.16129032,23.5483871,0,11.46451613,7.64516129,48.19354839,20.67741935,32.69354839,32.69354839,29.77419355,7.032258065,31.11290323,61.98387097,0.216129032,1008.806452,29.75806452,9.532258065,205.1774194,5.209677419
2016-09,35.43333333,23.26666667,0,11.46,7.6,49.33333333,20.35,32.58333333,32.58333333,29.78333333,7.233333333,35.7,61.56666667,0.423333333,1009.45,29.78333333,9.716666667,246.05,5.35
2016-10,34.61290323,23.41935484,0,11.07419355,7.387096774,47.77419355,20.67741935,32.25806452,32.25806452,29.35483871,7.64516129,39.37096774,63.53225806,0.293548387,1009.064516,29.33870968,9.693548387,255.3387097,5.822580645
2016-11,33,23.46666667,0,10.83333333,6.466666667,49.3,23.08333333,32.55,32.55,28.43333333,5.283333333,47.88333333,74.95,1.008333333,1009.166667,28.41666667,9.316666667,172.4166667,3.75
