,Date,cpo_pri,cno_pri,rps_pri,pno_pri,sbo_pri,wti_spri
169,2016-03-01,468.0,587.0,766.26,1129.08,578.62,41.15
170,2016-04-01,467.0,582.0,808.51,1036.17,558.93,39.72
171,2016-05-01,457.0,553.0,805.59,1036.17,537.66,34.23
172,2016-06-01,459.0,569.0,793.48,1029.16,535.83,29.05
173,2016-07-01,474.0,591.0,767.83,993.18,533.27,27.41
174,2016-08-01,473.0,575.0,817.52,961.89,540.6,34.04
175,2016-09-01,476.0,578.0,849.65,936.96,540.44,36.12
176,2016-10-01,484.0,583.0,914.14,936.96,588.29,41.29
177,2016-11-01,478.0,575.0,918.26,957.01,600.55,43.42
178,2016-12-01,499.0,583.0,930.43,990.51,630.01,40.39
179,2017-01-01,534.0,606.0,890.82,1041.92,632.18,39.92
180,2017-02-01,511.0,609.0,874.38,1079.22,602.35,40.3
181,2017-03-01,514.0,626.0,847.32,1102.31,614.71,45.28
182,2017-04-01,572.0,656.0,839.33,1102.31,675.67,42.12
183,2017-05-01,626.0,732.0,842.05,1102.31,698.12,49.34
184,2017-06-01,638.0,731.0,847.47,1071.64,697.33,49.44
185,2017-07-01,645.0,763.0,905.99,1016.33,715.04,50.17
186,2017-08-01,661.0,769.0,875.36,1055.21,719.03,46.41
187,2017-09-01,743.0,828.0,872.87,1078.17,753.7,47.65
188,2017-10-01,816.0,894.0,897.25,1169.41,788.7,43.89
189,2017-11-01,833.0,979.0,962.98,1268.18,835.55,40.23
190,2017-12-01,855.0,929.0,901.97,1404.95,887.12,40.5
191,2018-01-01,831.0,910.0,848.38,1472.3,921.79,40.68
192,2018-02-01,852.0,930.0,827.48,1523.39,970.08875,41.82
193,2018-03-01,926.0,1010.0,800.24,1633.34,970.08875,43.86
194,2018-04-01,999.0,1092.875,793.31,1829.84,970.08875,48.32
195,2018-05-01,1002.0,1092.875,811.49,1851.46875,970.08875,48.95
196,2018-06-01,1012.25,1092.875,838.02,1851.46875,970.08875,52.22
197,2018-07-01,1012.25,1092.875,848.61,1851.46875,970.08875,50.36
198,2018-08-01,1012.25,1092.875,853.67,1851.46875,970.08875,50.88
199,2018-09-01,1012.25,1092.875,821.47,1851.46875,970.08875,54.03
200,2018-10-01,1012.25,1092.875,850.55,1851.46875,970.08875,59.21
201,2018-11-01,1012.25,1092.875,840.39,1851.46875,970.08875,57.82
202,2018-12-01,1012.25,1092.875,827.02,1851.46875,970.08875,60.61
203,2019-01-01,964.0,1092.875,859.73,1851.46875,970.08875,58.88
204,2019-02-01,826.0,1092.875,829.7,1851.46875,970.08875,60.21
205,2019-03-01,636.0,856.0,808.68,1851.46875,942.53,61.61
206,2019-04-01,581.0,719.0,805.96,1851.46875,825.64,49.86
207,2019-05-01,587.0,740.0,815.84,1761.69,745.55,43.02
208,2019-06-01,659.0,734.0,840.01,1619.87,789.89,45.12
209,2019-07-01,656.0,673.0,845.27,1543.24,747.64,48.41
210,2019-08-01,660.0,625.0,877.48,1535.22,730.71,51.45
211,2019-09-01,800.0,747.0,903.07,1433.0,809.08,56.83
212,2019-10-01,873.0,843.0,908.67,1406.55,889.62,54.4
213,2019-11-01,789.0,747.0,910.73,1338.81,892.92,48.42
214,2019-12-01,698.0,685.0,924.5,1322.77,846.3,51.29
215,2020-01-01,746.0,747.0,941.46,1310.18,903.15,49.29
216,2020-02-01,704.0,701.0,902.34,1232.58,858.18,51.75
217,2020-03-01,725.0,706.0,796.67,1155.42,897.0,48.84
218,2020-04-01,763.0,729.0,758.96,1151.65,932.38,51.61
219,2020-05-01,822.0,768.0,799.83,1181.87,939.91,53.83
220,2020-06-01,831.0,784.0,850.98,1275.53,920.55,51.82
221,2020-07-01,830.0,798.0,890.21,1287.5,909.19,46.32
222,2020-08-01,863.0,921.0,921.55,1317.02,911.07,27.02
223,2020-09-01,863.0,940.0,938.14,1361.62,902.83,15.2
224,2020-10-01,855.0,932.0,927.71,1366.87,859.49,26.2
225,2020-11-01,826.0,993.0,1047.78,1366.87,860.28,34.03
226,2020-12-01,844.0,1031.0,1097.63,1366.87,910.82,35.5
227,2021-01-01,944.0,1092.875,1138.24,1383.9,970.08875,35.81
228,2021-02-01,949.0,1092.875,1272.13,1426.71,970.08875,33.59
229,2021-03-01,1012.25,1092.875,1321.88,1471.32,970.08875,33.57
